"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"edu.umd.cs.findbugs.OpcodeStack",3001,157,104,629,58,22,45,46,76
"edu.umd.cs.findbugs.BugInstance",1673,202,192,420,67,28,218,48,28
"edu.umd.cs.findbugs.detect.FindNullDeref",1375,40,20,228,103,69,0,75,17
"edu.umd.cs.findbugs.detect.DumbMethods",1308,30,21,575,49,29,0,42,33
"edu.umd.cs.findbugs.PluginLoader",1296,53,20,160,62,21,3,36,24
"edu.umd.cs.findbugs.ba.type.TypeFrameModelingVisitor",1153,126,117,206,38,24,4,31,12
"edu.umd.cs.findbugs.SortedBugCollection",1019,106,95,187,58,13,49,27,29
"edu.umd.cs.findbugs.detect.UnreadFields",994,23,22,357,57,34,1,43,21
"edu.umd.cs.findbugs.detect.FindRefComparison",991,65,48,214,86,50,1,71,32
"edu.umd.cs.findbugs.gui2.CloudCommentsPane",960,67,36,136,59,8,1,23,33
"edu.umd.cs.findbugs.visitclass.DismantleBytecode",932,63,58,192,35,12,11,19,45
"edu.umd.cs.findbugs.gui2.MainFrame",913,121,111,200,53,21,3,42,51
"edu.umd.cs.findbugs.detect.FindNoSideEffectMethods",895,38,23,10,34,17,0,27,37
"edu.umd.cs.findbugs.ba.AbstractFrameModelingVisitor",882,199,198,211,4,2,5,4,3
"edu.umd.cs.findbugs.classfile.engine.bcel.ValueRangeAnalysisFactory",869,61,49,221,58,16,1,39,37
"edu.umd.cs.findbugs.FindBugs2",841,63,53,169,53,35,6,50,26
"edu.umd.cs.findbugs.ba.ch.Subtypes2",806,58,38,156,28,9,46,15,19
"edu.umd.cs.findbugs.cloud.AbstractCloud",789,76,67,190,34,15,2,27,20
"edu.umd.cs.findbugs.ba.BetterCFGBuilder2",727,49,44,141,59,11,2,28,28
"edu.umd.cs.findbugs.detect.FindInconsistentSync2",704,28,22,179,66,39,0,48,31
"edu.umd.cs.findbugs.workflow.Filter",704,18,9,160,44,24,0,37,71
"edu.umd.cs.findbugs.gui2.PreferencesFrame",692,41,28,63,64,8,1,25,21
"edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefAnalysis",671,36,22,164,53,33,5,41,16
"edu.umd.cs.findbugs.SAXBugCollectionHandler",669,24,10,87,39,22,4,32,24
"edu.umd.cs.findbugs.detect.FindUnrelatedTypesInGenericContainer",669,14,6,86,77,44,0,50,7
"edu.umd.cs.findbugs.Project",661,68,62,147,44,13,31,33,37
"edu.umd.cs.findbugs.ba.npe.IsNullValueAnalysis",657,23,17,51,38,25,1,30,16
"edu.umd.cs.findbugs.detect.FindUselessObjects",632,40,38,243,48,21,0,31,31
